Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
HCL-INSYS,59.09090909,2.219121745,0.317073168,0.331466543,1.458244661,-0.106851066,22,9.37750146,31.34250205,0.139666624,27.57223816,0.340106647
WABAG,71.42857143,2.231913714,1.96954463,0.331914955,-3.340023168,-0.251269882,14,9.448220213,24.16141562,0.184104288,19.32135764,0.48900395
LINDEINDIA,76.47058824,16.17875714,17.39627947,0.332131235,24.85829992,0.59790522,17,36.79400797,55.0721209,0.577315844,10.18785219,3.611556907
3MINDIA,66.66666667,1.151894406,1.641279744,0.332585571,30.08436445,0.754222871,6,1.602838791,8.695950607,-0.390660132,17.05175363,0.093998472
ALLCARGO,53.84615385,1.868220964,1.738341998,0.333800541,4.018687926,-0.029398157,13,7.280811806,31.6092889,0.072156378,34.89312365,0.208660362
AJANTPHARM,66.66666667,1.743301525,2.520719265,0.33383855,37.45323616,0.972123686,9,6.449172637,23.8443969,0.060776234,19.28497084,0.334414436
JYOTHYLAB,62.5,1.983288179,2.117305216,0.334154852,16.90914553,0.356396008,16,8.0042825,30.29965378,0.099152371,34.92433664,0.229189249
GET&D,84.21052632,3.272112775,3.614730066,0.334367568,26.6578401,0.647725503,19,14.2595041,33.6626067,0.275067947,43.94570507,0.324480039
BALKRISIND,56.25,2.843655997,2.400272185,0.335114443,18.03324931,0.388919356,16,12.47043737,38.93437305,0.191872548,28.46783414,0.438053605
PAGEIND,44.44444444,1.654974553,1.454454825,0.335702679,48.13024021,1.284774978,9,5.828597353,27.0530375,0.030628625,18.83559411,0.309445899
GMDCLTD,53.84615385,1.408527682,2.94679662,0.337383636,12.69373167,0.228041044,13,3.927059084,45.76815077,-0.02344296,55.80568588,0.070370232
L&TFH,90.90909091,4.777950014,1.003821941,0.338083883,16.74032292,0.34726065,11,19.24736992,37.05229826,0.384520545,10.18520146,1.889738754
UPL,72.72727273,2.037822153,1.022164837,0.3385873,21.82464797,0.496907237,11,8.334226292,22.91432019,0.14550841,11.44061962,0.728476828
ELGIEQUIP,73.68421053,5.358427169,4.290248818,0.338595685,21.77653062,0.495473846,19,20.77584971,38.02771649,0.414851355,20.50244276,1.013335335
MOIL,66.66666667,0.756534501,2.401819888,0.339015909,-3.801004131,-0.259604458,6,-3.088723078,19.30636164,-0.418966723,47.8308203,-0.064576001
